Report Run Date,Project,Project State,ID,Type,Summary,State,Responsible User,All Content Count,Total number of requirements,Specified Requirements,Accepted  Requirements,Rejected Requirements,Deleted Requirements,Customer /Supplier - Accepted Requirements,"Req upstream traceability count - Decomposed From""""","Req upstream traceability count-Decomposed From"" / ""Defined By""""","Acc Req downstream traceability count-Decomposes To""""",Acc req - SW relevant,Acc Req - HW relevant,Acc Req - ME relevant,Acc Downstream traceability count - SW relevant,Acc Downstream traceability count - HW relevant,Acc Downstream traceability count - ME relevant,"Acc Req downstream traceability count-Satisfied By"" / ""Modelled By""""",Req test traceability count,Req test pass count,Total number of requirements (Functional),Accepted Requirements (Functional),"Req upstream traceability count-Decomposed From"" / ""Defined By"" (Functional)""","Acc Req downstream traceability count-Decomposes To"" (Functional)""","Acc Req downstream traceability count-Satisfied By"" / ""Modelled By""(Functional)""",ASIL Determined Requirements,Total number of requirements - (Safety Relevant),Accepted  Requirements (Safety Relevant),Rejected Requirements (Safety Relevant),"Req upstream traceability count-Decomposed From"" / ""Defined By(Safety Relevant)""","Acc Req downstream traceability count-Decomposes To"" (Safety Relevant)""","Acc Req downstream traceability count-Satisfied By"" / ""Modelled By""(Safety Relevant)""",Allocated Requirements,Planned For Variants ( >0 ),No of RQ mapped to release name,Req having Spawns relationship count,Document Churn from Initial Baseline,Last Week Document Churn,Reused Count,Stability
04.07.2019  2:48:00 PM,,ALM_Active,555501,RQ L2 Doc,,ALM_Open,,233,144,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,118,0,2,0,0,7,7,0,0,0,0,0,0,0,0,0,153,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,555616,RQ L2 Doc,,ALM_Open,,1771,1333,519,444,49,56,0,820,820,286,115,180,38,79,122,1,0,202,0,1156,353,650,275,0,565,424,45,0,369,32,0,1123,1150,0,11,"6,511",0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,555729,RQ L2 Doc,,ALM_Open,,1048,781,0,576,12,15,0,424,424,461,232,76,15,157,68,0,0,196,110,712,538,382,430,0,749,361,251,0,283,172,0,744,688,340,39,"4,881",0,27,1
04.07.2019  2:48:00 PM,,ALM_Active,555957,RQ L2 Doc,,ALM_Open,,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,556074,RQ L2 Doc,,ALM_Open,,1944,1130,125,972,17,76,0,849,854,103,5,247,239,0,47,1,3,57,0,178,27,142,20,1,1130,133,1,0,124,0,1,1134,3,0,169,"5,159",55,577,0.939823009
04.07.2019  2:48:00 PM,,ALM_Active,558400,RQ L1sw Doc,,ALM_Open,,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.07.2019  2:48:00 PM,,ALM_Active,558479,RQ L1sw Doc,,ALM_Open,,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.07.2019  2:48:00 PM,,ALM_Active,652387,RQ L3 Doc,,ALM_Restricted,,383,139,135,0,0,58,0,138,138,0,0,0,0,0,0,0,0,47,30,51,0,51,0,0,139,75,0,0,75,0,0,139,0,0,138,0,4,0,0.956834532
04.07.2019  2:48:00 PM,,ALM_Active,677493,RQ L3 Doc,,ALM_Open,,2576,1564,569,221,58,31,0,1075,1076,77,31,29,43,7,15,19,24,55,48,859,98,523,24,3,247,13,3,0,11,1,1,1599,92,0,409,0,5,2,0.998721228
04.07.2019  2:48:00 PM,,ALM_Active,866198,RQ L1sw Doc,,ALM_Restricted,,209,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,996802,RQ L3 Doc,,ALM_Open,,2866,2203,116,1446,94,27,0,744,744,14,1344,0,0,14,0,0,0,1129,905,1230,794,619,13,0,1942,24,9,0,22,0,0,2152,1228,0,327,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1005687,RQ L1hw Doc,,ALM_Open,,365,140,139,1,9,3,0,40,40,0,0,0,0,0,0,0,0,0,0,50,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,1
04.07.2019  2:48:00 PM,,ALM_Active,1071716,RQ L1sw Doc,,ALM_Open,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.07.2019  2:48:00 PM,,ALM_Active,1071797,RQ L1sw Doc,,ALM_Open,,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.07.2019  2:48:00 PM,,ALM_Active,1084221,RQ L1sw Doc,,ALM_Restricted,,169,75,2,63,0,0,0,4,4,0,0,0,0,0,0,0,56,61,48,68,58,4,0,56,26,2,2,0,2,0,2,0,0,0,22,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1100698,RQ L1sw Doc,,ALM_Restricted,,191,112,0,17,0,0,0,41,41,2,0,0,0,0,0,0,3,5,5,60,5,41,2,3,0,0,0,0,0,0,0,0,0,0,47,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1347960,RQ L1sw Doc,,ALM_Restricted,,336,94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91,91,93,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1359693,RQ L3 Doc,,ALM_Open,,151,106,0,3,0,1,0,99,99,0,1,0,0,0,0,0,0,9,2,4,1,3,0,0,2,0,0,0,0,0,0,4,1,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1377379,RQ L1sw Doc,,ALM_Restricted,,1341,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1453704,RQ L1sw Doc,,ALM_Open,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.07.2019  2:48:00 PM,,ALM_Active,1468069,RQ L3 Doc,,ALM_Open,,84,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
04.07.2019  2:48:00 PM,,ALM_Active,1560660,RQ L1sw Doc,,ALM_Restricted,,52,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1564131,IN Edit Doc,,ALM_Open,,35,15,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,1
04.07.2019  2:48:00 PM,,ALM_Active,1564310,IN Edit Doc,,ALM_Open,,35,13,2,11,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,13,1
04.07.2019  2:48:00 PM,,ALM_Active,1564368,IN Edit Doc,,ALM_Open,,35,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,1
04.07.2019  2:48:00 PM,,ALM_Active,1578370,RQ L3 Doc,,ALM_Restricted,,101,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1578476,RQ L1sw Doc,,ALM_Restricted,,67,25,0,18,0,0,0,1,1,0,0,0,0,0,0,0,9,13,13,13,9,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1629187,RQ L1sw Doc,,ALM_Restricted,,575,358,253,68,9,0,0,43,43,6,0,0,0,0,0,0,63,332,224,267,58,39,6,58,355,54,42,0,43,6,42,0,0,0,85,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1651609,RQ L1sw Doc,,ALM_Restricted,,104,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1651682,RQ L1sw Doc,,ALM_Restricted,,105,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1651829,RQ L1sw Doc,,ALM_Restricted,,532,220,134,20,14,31,0,59,59,0,0,0,0,0,0,0,17,202,199,150,19,56,0,17,186,20,19,0,20,0,16,0,0,0,146,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1651903,RQ L3 Doc,,ALM_Restricted,,84,41,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,9,0,0,0,0,0,0,9,9,0,4,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1668031,RQ L1sw Doc,,ALM_Restricted,,274,187,8,0,0,5,0,0,0,0,0,0,0,0,0,0,0,137,107,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1669834,RQ L1sw Doc,,ALM_Restricted,,44,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1684822,RQ L1hw Doc,,ALM_Open,,513,251,192,0,23,10,0,239,239,0,0,0,0,0,0,0,0,0,0,237,0,227,0,0,4,4,0,0,3,0,0,0,62,0,0,0,0,185,1
04.07.2019  2:48:00 PM,,ALM_Active,1685411,RQ L1sw Doc,,ALM_Restricted,,212,113,0,58,0,0,0,3,3,0,0,0,0,0,0,0,57,59,3,60,58,3,0,57,58,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1690634,RQ L1sw Doc,,ALM_Restricted,,312,229,0,195,0,0,0,6,6,0,0,0,0,0,0,0,100,85,85,147,138,2,0,100,5,2,2,0,2,0,2,0,0,0,24,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1690689,RQ L1sw Doc,,ALM_Restricted,,325,187,0,108,0,3,0,3,3,0,0,0,0,0,0,0,97,121,82,121,108,3,0,97,118,118,105,0,3,0,94,0,0,0,25,0,0,8,1
04.07.2019  2:48:00 PM,,ALM_Active,1697475,RQ L1sw Doc,,ALM_Restricted,,1874,1348,32,352,0,8,0,73,73,0,0,0,0,0,0,0,311,172,113,470,342,67,0,309,68,46,16,0,37,0,14,1348,1030,0,104,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1701734,RQ L1sw Doc,,ALM_Restricted,,441,48,0,19,0,13,0,38,38,0,0,0,0,0,0,0,19,41,29,48,19,38,0,19,22,0,0,0,0,0,0,47,0,0,15,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1701824,RQ L1sw Doc,,ALM_Restricted,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.07.2019  2:48:00 PM,,ALM_Active,1701869,RQ L1sw Doc,,ALM_Restricted,,662,399,0,287,4,35,0,54,54,0,0,0,0,0,0,0,228,229,46,230,228,54,0,228,228,228,228,0,54,0,228,0,0,0,2,0,0,180,1
04.07.2019  2:48:00 PM,,ALM_Active,1701914,RQ L1sw Doc,,ALM_Restricted,,158,99,0,73,0,1,0,73,73,0,0,0,0,0,0,0,73,73,45,73,73,73,0,73,73,73,73,0,73,0,73,0,0,0,42,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1702006,RQ L1sw Doc,,ALM_Restricted,,395,0,0,0,0,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.07.2019  2:48:00 PM,,ALM_Active,1702051,RQ L1sw Doc,,ALM_Restricted,,65,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04.07.2019  2:48:00 PM,,ALM_Active,1702100,RQ L1sw Doc,,ALM_Restricted,,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
04.07.2019  2:48:00 PM,,ALM_Active,1702145,RQ L1sw Doc,,ALM_Restricted,,102,55,3,16,0,1,0,35,35,0,0,0,0,0,0,0,2,20,18,38,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
